league,league_id,league_tier,league_start_date_time,league_end_date_time,league_region,series_id,series_type,match_id,match_start_date_time,match_duration_seconds,first_blood_time_seconds,radiant_team_id,radiant_team_name,dire_team_id,dire_team_name,winner_id,radiant_kills,dire_kills,radiant_player_1_id,radiant_player_1_name,radiant_player_1_hero_id,radiant_player_1_hero,radiant_player_1_position,radiant_player_1_lane,radiant_player_1_role,radiant_player_1_kills,radiant_player_1_deaths,radiant_player_1_assists,radiant_player_1_networth,radiant_player_2_id,radiant_player_2_name,radiant_player_2_hero_id,radiant_player_2_hero,radiant_player_2_position,radiant_player_2_lane,radiant_player_2_role,radiant_player_2_kills,radiant_player_2_deaths,radiant_player_2_assists,radiant_player_2_networth,radiant_player_3_id,radiant_player_3_name,radiant_player_3_hero_id,radiant_player_3_hero,radiant_player_3_position,radiant_player_3_lane,radiant_player_3_role,radiant_player_3_kills,radiant_player_3_deaths,radiant_player_3_assists,radiant_player_3_networth,radiant_player_4_id,radiant_player_4_name,radiant_player_4_hero_id,radiant_player_4_hero,radiant_player_4_position,radiant_player_4_lane,radiant_player_4_role,radiant_player_4_kills,radiant_player_4_deaths,radiant_player_4_assists,radiant_player_4_networth,radiant_player_5_id,radiant_player_5_name,radiant_player_5_hero_id,radiant_player_5_hero,radiant_player_5_position,radiant_player_5_lane,radiant_player_5_role,radiant_player_5_kills,radiant_player_5_deaths,radiant_player_5_assists,radiant_player_5_networth,dire_player_1_id,dire_player_1_name,dire_player_1_hero_id,dire_player_1_hero,dire_player_1_position,dire_player_1_lane,dire_player_1_role,dire_player_1_kills,dire_player_1_deaths,dire_player_1_assists,dire_player_1_networth,dire_player_2_id,dire_player_2_name,dire_player_2_hero_id,dire_player_2_hero,dire_player_2_position,dire_player_2_lane,dire_player_2_role,dire_player_2_kills,dire_player_2_deaths,dire_player_2_assists,dire_player_2_networth,dire_player_3_id,dire_player_3_name,dire_player_3_hero_id,dire_player_3_hero,dire_player_3_position,dire_player_3_lane,dire_player_3_role,dire_player_3_kills,dire_player_3_deaths,dire_player_3_assists,dire_player_3_networth,dire_player_4_id,dire_player_4_name,dire_player_4_hero_id,dire_player_4_hero,dire_player_4_position,dire_player_4_lane,dire_player_4_role,dire_player_4_kills,dire_player_4_deaths,dire_player_4_assists,dire_player_4_networth,dire_player_5_id,dire_player_5_name,dire_player_5_hero_id,dire_player_5_hero,dire_player_5_position,dire_player_5_lane,dire_player_5_role,dire_player_5_kills,dire_player_5_deaths,dire_player_5_assists,dire_player_5_networth,game_version_id
Ancients League,15819,PROFESSIONAL,2023-09-29 00:00:00,2024-03-29 00:00:00,CIS,847318,BEST_OF_THREE,7570212987,2024-02-05 04:48:40,1859,99,9018543,Hustlers,8893825,Lucky Bulldogs,8893825,25,31,1524712001,Frodo,49,Dragon Knight,POSITION_2,MID_LANE,CORE,5,4,15,14634,1525276378,wannakms,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,11,13,8681,1524633248,Polcamid,81,Chaos Knight,POSITION_1,SAFE_LANE,CORE,6,6,8,17420,1525361028,REQSTICK,64,Jakiro,POSITION_5,SAFE_LANE,HARD_SUPPORT,5,6,12,8775,1524835014,Dimidrol,120,Pangolier,POSITION_3,OFF_LANE,CORE,7,4,5,12673,1459124273,Yathest,44,Phantom Assassin,POSITION_1,SAFE_LANE,CORE,7,5,5,20007,1459205302,jaieri,74,Invoker,POSITION_2,MID_LANE,CORE,11,4,8,18461,1543900587,Tortoiseshell,53,Nature's Prophet,POSITION_5,SAFE_LANE,HARD_SUPPORT,5,7,20,15387,1423366323,Milkshake,129,Mars,POSITION_3,OFF_LANE,CORE,4,3,16,17121,1458610209,AYAYAYA,19,Tiny,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,6,19,10046,170
NA Dota Esports Inhouse League,16079,PROFESSIONAL,2023-12-18 05:00:00,2024-12-31 05:00:00,NA,101706276,BEST_OF_ONE,7570209849,2024-02-05 04:43:45,1969,2,-1991106628,T18171,-1095688606,T34311,-1095688606,13,48,112377459,Febby,94,Medusa,POSITION_1,SAFE_LANE,CORE,3,8,6,13415,81581812,ghoul,21,Windranger,POSITION_2,MID_LANE,CORE,4,7,6,14270,1133885660,YodiBrodi,71,Spirit Breaker,POSITION_3,OFF_LANE,CORE,2,10,7,8296,75506763,OWNER OF FRYBOYS,26,Lion,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,15,5,4852,145696391,5 pos slave,53,Nature's Prophet,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,8,6,9787,370052485,Ham,49,Dragon Knight,POSITION_1,SAFE_LANE,CORE,22,1,10,25045,412033100,Renpa,110,Phoenix,POSITION_3,OFF_LANE,CORE,4,3,23,16533,32424938,Akutober,41,Faceless Void,POSITION_5,SAFE_LANE,HARD_SUPPORT,5,4,12,13161,152185837,Sampson,137,Primal Beast,POSITION_2,MID_LANE,CORE,8,4,27,11840,110966701,Chompix,128,Snapfire,POSITION_4,OFF_LANE,LIGHT_SUPPORT,8,1,19,12436,170
Ancients League,15819,PROFESSIONAL,2023-09-29 00:00:00,2024-03-29 00:00:00,CIS,847309,BEST_OF_THREE,7570202102,2024-02-05 04:31:41,1738,10,9332059,Ninja Bros,8893840,Big Bang Gaming,8893840,20,35,1669346844,,110,Phoenix,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,9,12,7145,1669589984,,25,Lina,POSITION_1,SAFE_LANE,CORE,3,6,6,12601,1669990410,,35,Sniper,POSITION_2,MID_LANE,CORE,4,4,5,12382,1669038778,,31,Lich,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,9,9,5548,1669657737,,47,Viper,POSITION_3,OFF_LANE,CORE,11,7,3,12511,1415353399,Kayurin`ho,58,Enchantress,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,8,19,10307,1290724173,trapshitxd,57,Omniknight,POSITION_3,OFF_LANE,CORE,6,4,14,14067,1622228403,SpottieOttie,64,Jakiro,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,4,19,10552,1271501667,BoomBoom,21,Windranger,POSITION_1,SAFE_LANE,CORE,12,4,6,16135,1425359001,realtockwtf,17,Storm Spirit,POSITION_2,MID_LANE,CORE,12,0,9,18887,170
Ancients League,15819,PROFESSIONAL,2023-09-29 00:00:00,2024-03-29 00:00:00,CIS,847318,BEST_OF_THREE,7570185145,2024-02-05 04:05:10,1863,300,8893825,Lucky Bulldogs,9018543,Hustlers,8893825,36,29,1459124273,Yathest,18,Sven,POSITION_1,SAFE_LANE,CORE,12,4,10,24382,1423366323,Milkshake,28,Slardar,POSITION_3,OFF_LANE,CORE,3,4,12,15290,1543900587,Tortoiseshell,64,Jakiro,POSITION_5,SAFE_LANE,HARD_SUPPORT,7,9,11,14753,1459205302,jaieri,19,Tiny,POSITION_2,MID_LANE,CORE,10,5,11,16378,1458610209,AYAYAYA,83,Treant Protector,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,7,14,9430,1524712001,Frodo,23,Kunkka,POSITION_2,MID_LANE,CORE,5,5,15,13574,1524835014,Dimidrol,16,Sand King,POSITION_3,OFF_LANE,CORE,6,6,8,10374,1524633248,Polcamid,48,Luna,POSITION_1,SAFE_LANE,CORE,15,4,6,20681,1525276378,wannakms,26,Lion,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,13,9,6251,1525361028,REQSTICK,20,Vengeful Spirit,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,8,20,8179,170
Ancients League,15819,PROFESSIONAL,2023-09-29 00:00:00,2024-03-29 00:00:00,CIS,847309,BEST_OF_THREE,7570182918,2024-02-05 04:01:37,1069,113,8893840,Big Bang Gaming,9332059,Ninja Bros,8893840,24,9,1290724173,trapshitxd,100,Tusk,POSITION_3,OFF_LANE,CORE,7,1,9,9259,1425359001,realtockwtf,23,Kunkka,POSITION_2,MID_LANE,CORE,7,1,9,11104,1415353399,Kayurin`ho,53,Nature's Prophet,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,4,16,6537,1622228403,SpottieOttie,20,Vengeful Spirit,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,2,16,5345,1271501667,BoomBoom,48,Luna,POSITION_1,SAFE_LANE,CORE,4,1,10,11556,1669657737,,29,Tidehunter,POSITION_3,OFF_LANE,CORE,1,4,4,5535,1669589984,,54,Lifestealer,POSITION_1,SAFE_LANE,CORE,0,3,2,7130,1669990410,,14,Pudge,POSITION_2,MID_LANE,CORE,5,3,2,7791,1669038778,,26,Lion,POSITION_5,SAFE_LANE,HARD_SUPPORT,0,7,4,2394,1669346844,,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,7,2,3706,170
NA Dota Esports Inhouse League,16079,PROFESSIONAL,2023-12-18 05:00:00,2024-12-31 05:00:00,NA,101706272,BEST_OF_ONE,7570177930,2024-02-05 03:53:33,2388,40,-1022932539,T14121,-1765897507,T31211,-1022932539,69,26,1051961087,mode:icq-,98,Timbersaw,POSITION_1,SAFE_LANE,CORE,27,7,19,28411,412033100,Renpa,69,Doom,POSITION_3,OFF_LANE,CORE,13,3,27,24322,152185837,Sampson,40,Venomancer,POSITION_5,SAFE_LANE,HARD_SUPPORT,12,4,43,20313,22751485,¯户口七爪Gひソ,20,Vengeful Spirit,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,7,33,13538,1133885660,YodiBrodi,17,Storm Spirit,POSITION_2,MID_LANE,CORE,15,5,20,22853,313453895,安德烈,49,Dragon Knight,POSITION_3,OFF_LANE,CORE,9,13,11,21977,145696391,5 pos slave,97,Magnus,POSITION_2,MID_LANE,CORE,9,9,12,19689,24014028,Poptart,42,Wraith King,POSITION_1,SAFE_LANE,CORE,0,14,10,12995,110966701,Chompix,26,Lion,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,19,11,6086,117965795,OWNER OF FRYBOYS,84,Ogre Magi,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,15,13,7231,170
Blizzard Brawl: New year decider,16158,PROFESSIONAL,2024-01-16 18:30:00,2024-02-28 18:30:00,SEA,847306,BEST_OF_TWO,7570164716,2024-02-05 03:33:14,2022,2,8736661,Made in Philippines,350190,Sunset,350190,39,44,136352219,qx,14,Pudge,POSITION_4,OFF_LANE,LIGHT_SUPPORT,8,14,18,9550,143356903,M.C,45,Pugna,POSITION_3,OFF_LANE,CORE,9,8,8,16416,126323933,Efking,74,Invoker,POSITION_2,MID_LANE,CORE,15,8,12,22035,136623131,Backspace,41,Faceless Void,POSITION_1,SAFE_LANE,CORE,5,4,5,18916,240899847,123456,3,Bane,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,10,10,7503,151719715,enjoyer,64,Jakiro,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,5,19,15280,392277500,lets go,63,Weaver,POSITION_1,SAFE_LANE,CORE,9,8,13,16963,275871536,1/4/5,26,Lion,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,12,17,7434,1105255234,.....,13,Puck,POSITION_2,MID_LANE,CORE,11,9,21,21330,155807130,fttm,43,Death Prophet,POSITION_3,OFF_LANE,CORE,14,5,19,21276,170
Ancients League,15819,PROFESSIONAL,2023-09-29 00:00:00,2024-03-29 00:00:00,CIS,847309,BEST_OF_THREE,7570147281,2024-02-05 03:04:26,2544,115,9332059,Ninja Bros,8893840,Big Bang Gaming,9332059,47,42,1669657737,,55,Dark Seer,POSITION_3,OFF_LANE,CORE,6,10,33,20472,1669589984,,93,Slark,POSITION_1,SAFE_LANE,CORE,19,5,12,25627,1669990410,,21,Windranger,POSITION_2,MID_LANE,CORE,13,6,16,27379,1669038778,,31,Lich,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,9,31,12231,1669346844,,7,Earthshaker,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,12,33,15437,1271501667,BoomBoom,63,Weaver,POSITION_1,SAFE_LANE,CORE,13,6,22,26592,1290724173,trapshitxd,2,Axe,POSITION_3,OFF_LANE,CORE,6,10,14,16733,1622228403,SpottieOttie,101,Skywrath Mage,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,11,17,13088,1425359001,realtockwtf,106,Ember Spirit,POSITION_2,MID_LANE,CORE,11,9,18,22445,1415353399,Kayurin`ho,121,Grimstroke,POSITION_5,SAFE_LANE,HARD_SUPPORT,6,11,23,11103,170
NA Dota Esports Inhouse League,16079,PROFESSIONAL,2023-12-18 05:00:00,2024-12-31 05:00:00,NA,101706267,BEST_OF_ONE,7570143089,2024-02-05 02:57:39,2001,128,-1914205157,T81711,9330135,CYBERDRAGONINFINITY 2.0,9330135,23,51,86692726,Yanbura,110,Phoenix,POSITION_5,SAFE_LANE,HARD_SUPPORT,5,12,13,10417,1133885660,YodiBrodi,17,Storm Spirit,POSITION_2,MID_LANE,CORE,8,10,9,12654,75506763,OWNER OF FRYBOYS,94,Medusa,POSITION_1,SAFE_LANE,CORE,0,7,3,11101,105094866,too turnt,123,Hoodwink,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,9,17,8468,131811241,Malibujesus,96,Centaur Warrunner,POSITION_3,OFF_LANE,CORE,6,13,9,9450,1051961087,mode:icq-,112,Winter Wyvern,POSITION_1,SAFE_LANE,CORE,5,7,12,15399,1576762760,Ебанный рот этого казино,137,Primal Beast,POSITION_2,MID_LANE,CORE,19,1,19,19712,145696391,5 pos slave,85,Undying,POSITION_5,SAFE_LANE,HARD_SUPPORT,8,6,17,11465,313453895,安德烈,98,Timbersaw,POSITION_3,OFF_LANE,CORE,16,2,13,21727,6541782,Boost me TI14,20,Vengeful Spirit,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,7,13,10558,170
Blizzard Brawl: New year decider,16158,PROFESSIONAL,2024-01-16 18:30:00,2024-02-28 18:30:00,SEA,847306,BEST_OF_TWO,7570137686,2024-02-05 02:50:40,1547,113,350190,Sunset,8736661,Made in Philippines,350190,40,27,151719715,enjoyer,27,Shadow Shaman,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,9,24,11455,392277500,lets go,39,Queen of Pain,POSITION_2,MID_LANE,CORE,6,2,13,12085,1105255234,.....,82,Meepo,POSITION_1,SAFE_LANE,CORE,12,5,10,16710,275871536,1/4/5,20,Vengeful Spirit,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,8,18,7516,155807130,fttm,135,Dawnbreaker,POSITION_3,OFF_LANE,CORE,15,3,13,17422,136352219,qx,119,Dark Willow,POSITION_4,OFF_LANE,LIGHT_SUPPORT,7,9,5,9285,143356903,M.C,105,Techies,POSITION_3,OFF_LANE,CORE,2,6,6,9758,136623131,Backspace,21,Windranger,POSITION_1,SAFE_LANE,CORE,4,9,7,9327,126323933,Efking,46,Templar Assassin,POSITION_2,MID_LANE,CORE,10,8,1,13922,240899847,123456,28,Slardar,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,9,12,6426,170
